repo	kind	priority	curation_score	language	stars	code_hit_count	reasons	html_url
nikitagrygoriev/LOLCODE_Compiler	implementation	P1	43	Java	1	6	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/nikitagrygoriev/LOLCODE_Compiler
francisquianzon/CMSC124-LOLCode-Interpreter	implementation	P1	43	Python	1	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/francisquianzon/CMSC124-LOLCode-Interpreter
keijeizei/nyanterpreter	implementation	P1	43	JavaScript	1	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/keijeizei/nyanterpreter
racarlos/lolterpreter	implementation	P1	43	Python	1	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/racarlos/lolterpreter
tmaciejewski/lcc	implementation	P1	43	C	1	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/tmaciejewski/lcc
Ajlyde/LOLCODE	implementation	P1	42	Python	0	2	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/Ajlyde/LOLCODE
jmacato/LOLSharp	implementation	P1	42		0	0	implementation-signal,impl-root-signal,grammar-root-signal,tooling-signal	https://github.com/jmacato/LOLSharp
browndeer/lcc	implementation	P1	41	C	5	4	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/browndeer/lcc
pmonks/clj-lolcode	implementation	P1	41	Clojure	2	4	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/pmonks/clj-lolcode
krispypatata/lolcode-interpreter-py	implementation	P1	41	Python	0	1	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/krispypatata/lolcode-interpreter-py
ksumallo/lolspeaker	implementation	P1	41	Python	0	1	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/ksumallo/lolspeaker
nadineanareta/lolcode-interpreter	implementation	P1	41	Python	0	1	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/nadineanareta/lolcode-interpreter
rvantonder/antlr-lolcode	implementation	P1	41	Java	0	1	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/rvantonder/antlr-lolcode
parrot/lolcode	implementation	P1	40	Perl	5	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/parrot/lolcode
belkadan/lolcode-rb	implementation	P1	40	Ruby	2	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/belkadan/lolcode-rb
simark/lolc	implementation	P1	40	Java	2	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/simark/lolc
ChristianLois/CMSC124-LOLCODE-INTERPRETER	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/ChristianLois/CMSC124-LOLCODE-INTERPRETER
TimothyJosef-Reyes/LOL_CODE-INTERPRETER	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/TimothyJosef-Reyes/LOL_CODE-INTERPRETER
aagoshi/lolcode	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/aagoshi/lolcode
aljonnovelo/lolcode-parser	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/aljonnovelo/lolcode-parser
clarmndp/lolcode-interpreter-cmsc124	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/clarmndp/lolcode-interpreter-cmsc124
egozverev/esoteric_interpreter	implementation	P1	40	Yacc	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/egozverev/esoteric_interpreter
ezancanaro/LolCode-T2ezancanaro	implementation	P1	40	Java	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/ezancanaro/LolCode-T2ezancanaro
jaysonix3/CMSC-124-LOLCODE	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/jaysonix3/CMSC-124-LOLCODE
jlppascual/LOLCODE_Beililits	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/jlppascual/LOLCODE_Beililits
kathcabrera/LOLterpreter	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal,noise-signal	https://github.com/kathcabrera/LOLterpreter
koral293/lolcode-lexer	implementation	P1	40	C	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/koral293/lolcode-lexer
kylelemons/lolcode-ctools	implementation	P1	40	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/kylelemons/lolcode-ctools
lorenzggabriel/WitLang-LolCode-Interpreter	implementation	P1	40	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/lorenzggabriel/WitLang-LolCode-Interpreter
tcort/minou	implementation	P1	40	Lex	0	0	implementation-signal,impl-root-signal,grammar-root-signal,corpus-signal	https://github.com/tcort/minou
netfri25/rlci	implementation	P1	39	Rust	6	0	implementation-signal,tooling-signal	https://github.com/netfri25/rlci
mattleibow/lolcode-dot-net	implementation	P1	39	C#	4	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mattleibow/lolcode-dot-net
CharlesTabuzo/LOLCODE-interpreter	implementation	P1	39	Python	1	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/CharlesTabuzo/LOLCODE-interpreter
camanzanido/LOLCODE-Interpreter	implementation	P1	39	Python	1	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/camanzanido/LOLCODE-Interpreter
cvpua/CMSC124_Project	implementation	P1	39	Python	1	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/cvpua/CMSC124_Project
gitsly/lolcode-dot-net	implementation	P1	39	C#	1	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/gitsly/lolcode-dot-net
justinmeza/lolcode	implementation	P1	38	C	58	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/justinmeza/lolcode
aduros/trollcat	implementation	P1	38		3	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/aduros/trollcat
austinbyers/LOLcat	implementation	P1	38	Python	2	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/austinbyers/LOLcat
ABCD-rgb/lolcode-interpreter	implementation	P1	38	Python	1	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/ABCD-rgb/lolcode-interpreter
jedalain/cmsc-124-lolcode-project	implementation	P1	38	Python	1	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/jedalain/cmsc-124-lolcode-project
mattleibow/dotnet-lolcode	implementation	P1	38	C#	0	4	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mattleibow/dotnet-lolcode
ash-of-the-meadow/LOLC	implementation	P1	37	C	9	0	implementation-signal,corpus-signal	https://github.com/ash-of-the-meadow/LOLC
meh/llvm-lol	implementation	P1	37	C++	5	0	implementation-signal,corpus-signal	https://github.com/meh/llvm-lol
fruit-in/lolcat-translator	implementation	P1	37	LOLCODE	1	0	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/fruit-in/lolcat-translator
wspace/0x0dea-lolcode	implementation	P1	37	LOLCODE	1	0	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/wspace/0x0dea-lolcode
driee17/cmsc124-project	implementation	P1	37	Python	0	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/driee17/cmsc124-project
mldamalerio/LOLCODE-Interpreter	implementation	P1	37	Python	0	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mldamalerio/LOLCODE-Interpreter
mreifer1/RUST_LOLCODE_COMPILER	implementation	P1	37	Rust	0	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mreifer1/RUST_LOLCODE_COMPILER
roxanneypr/LolCode-interpreter	implementation	P1	37	Python	0	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/roxanneypr/LolCode-interpreter
tedneward/lolcomp	implementation	P1	37	Kotlin	0	3	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/tedneward/lolcomp
Theoistic/lolcode-dot-net	implementation	P1	36	C#	0	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/Theoistic/lolcode-dot-net
chunlea/lolcode-dot-net	implementation	P1	36	C#	0	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/chunlea/lolcode-dot-net
rdohms/lolcode-parser	implementation	P1	36	PHP	0	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/rdohms/lolcode-parser
unycorn/lolcode-dot-net	implementation	P1	36	C#	0	2	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/unycorn/lolcode-dot-net
EbrahimGabriel/lolcode-interpreter	implementation	P1	35	Python	0	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/EbrahimGabriel/lolcode-interpreter
Izaaq/Izaaq-FYP	implementation	P1	35	Python	0	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/Izaaq/Izaaq-FYP
RodFlores27/CMSC124Project	implementation	P1	35	Python	0	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/RodFlores27/CMSC124Project
alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	implementation	P1	35	Python	0	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/alxzdani/LOLCODE-interpreter-cocoy-dani-kyro
amtuazon4/PyGUI	implementation	P1	35	Python	0	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/amtuazon4/PyGUI
jerichodolendo/lolcode-interpreter	implementation	P1	35	Python	0	1	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/jerichodolendo/lolcode-interpreter
BOXEL-REBOUND/LOLCODE	implementation	P1	34	LOLCODE	0	0	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/BOXEL-REBOUND/LOLCODE
jessicamarie/cat-translator	implementation	P1	34	LOLCODE	0	0	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/jessicamarie/cat-translator
ulrich-barnstedt-archive/brainfuck.lol	implementation	P1	34	LOLCODE	0	0	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/ulrich-barnstedt-archive/brainfuck.lol
timotei/lolcode_to_c	implementation	P1	33	C	2	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/timotei/lolcode_to_c
InzamamRahaman/LOLCODE	implementation	P1	33	Python	1	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/InzamamRahaman/LOLCODE
d-stew/lmaonade-stand	implementation	P1	33	Makefile	1	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/d-stew/lmaonade-stand
stephenchouca/lol2cpp	implementation	P1	33	C++	1	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/stephenchouca/lol2cpp
igrigorik/ruby2lolz	implementation	P1	32	Ruby	38	0	implementation-signal	https://github.com/igrigorik/ruby2lolz
replit-archive/lol-coffee	implementation	P1	32	CoffeeScript	25	0	implementation-signal	https://github.com/replit-archive/lol-coffee
CaseySchneider/LMAOcode-Compiler	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/CaseySchneider/LMAOcode-Compiler
EmritYR/LOLCODE-PARSER	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/EmritYR/LOLCODE-PARSER
EtherDaler/lolcode-iterpr	implementation	P1	30	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/EtherDaler/lolcode-iterpr
InversionSpaces/lolcode-interpreter	implementation	P1	30	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/InversionSpaces/lolcode-interpreter
JoshuaStapleton/lolcode-parser	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/JoshuaStapleton/lolcode-parser
Neverjr/lolcode	implementation	P1	30	Lex	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/Neverjr/lolcode
Zelika3435/CMSC124-Project-lolcode_interpreter	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/Zelika3435/CMSC124-Project-lolcode_interpreter
akashdeeep/LOLcode-compiler	implementation	P1	30	C	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/akashdeeep/LOLcode-compiler
akeustis/lolcode	implementation	P1	30	Go	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/akeustis/lolcode
alexa0o/lolcode-interpreter	implementation	P1	30	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/alexa0o/lolcode-interpreter
ciaramaegotis/CMSC-129-LOLCODE-lexyacc	implementation	P1	30	C	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/ciaramaegotis/CMSC-129-LOLCODE-lexyacc
johnbyron-garin/LolCode-Compiler	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/johnbyron-garin/LolCode-Compiler
kylereblora/cmsc-124-project-beta-copy	implementation	P1	30	Java	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/kylereblora/cmsc-124-project-beta-copy
mamerisawesome/acubeLolLexer	implementation	P1	30	C#	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/mamerisawesome/acubeLolLexer
molnarmark/lolcode-lua	implementation	P1	30	Lua	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/molnarmark/lolcode-lua
rafdp/Language2AST	implementation	P1	30	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/rafdp/Language2AST
renderAR/LOLCODE-Interpreter	implementation	P1	30	Java	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/renderAR/LOLCODE-Interpreter
rihsdavid/lolcode_compiler	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/rihsdavid/lolcode_compiler
rjcapuno/AeroHurricanes	implementation	P1	30	C#	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/rjcapuno/AeroHurricanes
skushneryuk/lolcode_interpreter	implementation	P1	30	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/skushneryuk/lolcode_interpreter
sribnyak/lolbison	implementation	P1	30	C++	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/sribnyak/lolbison
strangeglyph/lolcode-compiler	implementation	P1	30	Rust	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/strangeglyph/lolcode-compiler
sudo-gera/lolcode-interpreter	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/sudo-gera/lolcode-interpreter
vulnanx/LOLcode-Compiler-with-GUI	implementation	P1	30	Python	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/vulnanx/LOLcode-Compiler-with-GUI
zatrodev/lolcode	implementation	P1	30	Rust	0	0	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/zatrodev/lolcode
jqr/lolcodr	implementation	P1	27	Ruby	5	0	implementation-signal	https://github.com/jqr/lolcodr
jocelyne8/lolcode	corpus	P3	22	LOLCODE	4	9	corpus-signal,also-in-language-snapshot	https://github.com/jocelyne8/lolcode
rodrigocaldeira/tictactoelolcode	corpus	P3	19	LOLCODE	21	1	corpus-signal,also-in-language-snapshot	https://github.com/rodrigocaldeira/tictactoelolcode
seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	corpus	P3	19	LOLCODE	2	6	corpus-signal,also-in-language-snapshot	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE
chutasano/lolcode	corpus	P3	16	LOLCODE	2	3	corpus-signal,also-in-language-snapshot	https://github.com/chutasano/lolcode
Kimbsy/lolcode	corpus	P3	15	LOLCODE	7	2	corpus-signal,also-in-language-snapshot	https://github.com/Kimbsy/lolcode
darylldan/lolcode-testcases	corpus	P3	15	LOLCODE	0	5	corpus-signal,also-in-language-snapshot	https://github.com/darylldan/lolcode-testcases
fsill99/fibonacci	corpus	P3	14	LOLCODE	8	1	corpus-signal,also-in-language-snapshot	https://github.com/fsill99/fibonacci
HogardDeLauger/lolcode-equation-solver	corpus	P3	14	LOLCODE	5	1	corpus-signal,also-in-language-snapshot	https://github.com/HogardDeLauger/lolcode-equation-solver
javif89/webcat	corpus	P3	14	Python	5	1	corpus-signal,also-in-language-snapshot	https://github.com/javif89/webcat
Buttars/LOLCODE-FIBONACCI	corpus	P3	14	LOLCODE	4	1	corpus-signal,also-in-language-snapshot	https://github.com/Buttars/LOLCODE-FIBONACCI
carlmathisen/htmx-lolcode	corpus	P3	14	LOLCODE	3	1	corpus-signal,also-in-language-snapshot	https://github.com/carlmathisen/htmx-lolcode
justinmeza/lollm	corpus	P3	14	LOLCODE	3	1	corpus-signal,also-in-language-snapshot	https://github.com/justinmeza/lollm
Stovoy/LOLCODE-Snake	corpus	P3	13	LOLCODE	10	0	corpus-signal,also-in-language-snapshot	https://github.com/Stovoy/LOLCODE-Snake
PieVieRo/LOLCODE-calculator	corpus	P3	13	LOLCODE	5	0	corpus-signal,also-in-language-snapshot	https://github.com/PieVieRo/LOLCODE-calculator
Zyndoras/calculator.lol	corpus	P3	13	LOLCODE	3	0	corpus-signal,also-in-language-snapshot	https://github.com/Zyndoras/calculator.lol
akleemans/pogo-ivrater-lolcode	corpus	P3	13	LOLCODE	3	0	corpus-signal,also-in-language-snapshot	https://github.com/akleemans/pogo-ivrater-lolcode
