repo	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	html_url
JasonBock/LOLCode.net	C#	3	2	yes	yes	https://github.com/JasonBock/LOLCode.net
aduros/trollcat		3	1	no	yes	https://github.com/aduros/trollcat
carlmathisen/htmx-lolcode	LOLCODE	3	1	no	yes	https://github.com/carlmathisen/htmx-lolcode
justinmeza/lollm	LOLCODE	3	1	no	yes	https://github.com/justinmeza/lollm
Zyndoras/calculator.lol	LOLCODE	3	0	no	yes	https://github.com/Zyndoras/calculator.lol
akleemans/pogo-ivrater-lolcode	LOLCODE	3	0	no	yes	https://github.com/akleemans/pogo-ivrater-lolcode
aurasphere/ftpd.lol	LOLCODE	3	0	yes	yes	https://github.com/aurasphere/ftpd.lol
bodil/lolcode-mode	Emacs Lisp	3	0	no	no	https://github.com/bodil/lolcode-mode
netfri25/lolcode-json	LOLCODE	3	0	no	yes	https://github.com/netfri25/lolcode-json
rymaju/lolcode	Racket	3	0	no	no	https://github.com/rymaju/lolcode
theDrake/lolcode-experiments	LOLCODE	3	0	yes	yes	https://github.com/theDrake/lolcode-experiments
Danie-A/CMSC124_Project_LolCode_Interpreter	Python	2	8	no	yes	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter
seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	LOLCODE	2	6	no	yes	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE
pmonks/clj-lolcode	Clojure	2	4	no	yes	https://github.com/pmonks/clj-lolcode
belkadan/lolcode-rb	Ruby	2	3	no	yes	https://github.com/belkadan/lolcode-rb
chutasano/lolcode	LOLCODE	2	3	no	yes	https://github.com/chutasano/lolcode
simark/lolc	Java	2	3	no	yes	https://github.com/simark/lolc
seanpm2001/Learn-LOLCODE	LOLCODE	2	2	yes	yes	https://github.com/seanpm2001/Learn-LOLCODE
austinbyers/LOLcat	Python	2	1	no	yes	https://github.com/austinbyers/LOLcat
Chameleon-Coder/cat-journey	LOLCODE	2	0	no	yes	https://github.com/Chameleon-Coder/cat-journey
EloniX-X/LOLCODE-calculator	LOLCODE	2	0	no	yes	https://github.com/EloniX-X/LOLCODE-calculator
KrazIvan/LOLCODE-grammar-vscode	TypeScript	2	0	no	no	https://github.com/KrazIvan/LOLCODE-grammar-vscode
YS-L/hlci	Haskell	2	0	yes	no	https://github.com/YS-L/hlci
bernardjezua/LOLCODE-Interpreter	Python	2	0	yes	no	https://github.com/bernardjezua/LOLCODE-Interpreter
calvinmm/lolcode-dsl	Scala	2	0	no	no	https://github.com/calvinmm/lolcode-dsl
fabasoad/setup-lolcode-action	Shell	2	0	no	no	https://github.com/fabasoad/setup-lolcode-action
nathanchere/HackerRank_LOLCODE	LOLCODE	2	0	no	yes	https://github.com/nathanchere/HackerRank_LOLCODE
rae-ralston/can-i-haz-blockchain	JavaScript	2	0	no	no	https://github.com/rae-ralston/can-i-haz-blockchain
rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj	C#	2	0	no	no	https://github.com/rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj
rodrigocaldeira/Bitcoin-Prices	LOLCODE	2	0	no	yes	https://github.com/rodrigocaldeira/Bitcoin-Prices
seanpm2001/AI2001_Category-Source_Code-SC-LOLCODE	R	2	0	yes	no	https://github.com/seanpm2001/AI2001_Category-Source_Code-SC-LOLCODE
seanpm2001/Bliss_Browser_LOLCODE	LOLCODE	2	0	no	yes	https://github.com/seanpm2001/Bliss_Browser_LOLCODE
shreyaslad/Fun-with-LOLCODE	LOLCODE	2	0	no	yes	https://github.com/shreyaslad/Fun-with-LOLCODE
steenhulthin/LOLCODE_NPP		2	0	no	no	https://github.com/steenhulthin/LOLCODE_NPP
timotei/lolcode_to_c	C	2	0	no	no	https://github.com/timotei/lolcode_to_c
lolcodepp/lci	C	1	10	no	yes	https://github.com/lolcodepp/lci
nikitagrygoriev/LOLCODE_Compiler	Java	1	6	no	yes	https://github.com/nikitagrygoriev/LOLCODE_Compiler
CharlesTabuzo/LOLCODE-interpreter	Python	1	2	no	yes	https://github.com/CharlesTabuzo/LOLCODE-interpreter
camanzanido/LOLCODE-Interpreter	Python	1	2	no	yes	https://github.com/camanzanido/LOLCODE-Interpreter
cvpua/CMSC124_Project	Python	1	2	no	yes	https://github.com/cvpua/CMSC124_Project
gitsly/lolcode-dot-net	C#	1	2	no	yes	https://github.com/gitsly/lolcode-dot-net
mutcianm/lolcodec	Java	1	2	no	yes	https://github.com/mutcianm/lolcodec
ABCD-rgb/lolcode-interpreter	Python	1	1	no	yes	https://github.com/ABCD-rgb/lolcode-interpreter
TheDummi/Meow	LOLCODE	1	1	no	yes	https://github.com/TheDummi/Meow
jedalain/cmsc-124-lolcode-project	Python	1	1	no	yes	https://github.com/jedalain/cmsc-124-lolcode-project
mathisneunzig/LOLCODE	LOLCODE	1	1	no	yes	https://github.com/mathisneunzig/LOLCODE
mjrb/mongo-lol-driver-example	LOLCODE	1	1	no	yes	https://github.com/mjrb/mongo-lol-driver-example
monumei/skibidi-brat	Python	1	1	no	yes	https://github.com/monumei/skibidi-brat
Arfuirl/Text-Adventure-in-LOLCODE		1	0	no	no	https://github.com/Arfuirl/Text-Adventure-in-LOLCODE
BGP100/LOLCODE-Guide		1	0	no	no	https://github.com/BGP100/LOLCODE-Guide
Chameleon-Coder/lolcode-rpg-template	LOLCODE	1	0	no	yes	https://github.com/Chameleon-Coder/lolcode-rpg-template
Chameleon-Coder/stunning-sniffle	LOLCODE	1	0	no	yes	https://github.com/Chameleon-Coder/stunning-sniffle
ChristopherA8/lolcalc	LOLCODE	1	0	no	yes	https://github.com/ChristopherA8/lolcalc
Daniel-Pete/dolomite-lolcode-interpreter	Python	1	0	no	no	https://github.com/Daniel-Pete/dolomite-lolcode-interpreter
Devedir/lolcodeweb	HTML	1	0	no	no	https://github.com/Devedir/lolcodeweb
GerardOlviga/lolcode-interpreter	Java	1	0	no	no	https://github.com/GerardOlviga/lolcode-interpreter
Idkwhoami42/Lolcode	LOLCODE	1	0	no	yes	https://github.com/Idkwhoami42/Lolcode
InzamamRahaman/LOLCODE	Python	1	0	no	no	https://github.com/InzamamRahaman/LOLCODE
Lucki/gtksourceview-lolcode		1	0	no	no	https://github.com/Lucki/gtksourceview-lolcode
MemeFlavor/LOLSCRIPT	Lua	1	0	no	no	https://github.com/MemeFlavor/LOLSCRIPT
Nameless9000/LOLCODE_Shell	LOLCODE	1	0	no	yes	https://github.com/Nameless9000/LOLCODE_Shell
Nicolas-hr/Lolcode	LOLCODE	1	0	no	yes	https://github.com/Nicolas-hr/Lolcode
SandeeepKiran/LOLCODE		1	0	no	no	https://github.com/SandeeepKiran/LOLCODE
Shellanigans/EmojiPaster	PowerShell	1	0	no	no	https://github.com/Shellanigans/EmojiPaster
StexX/catpiler	Java	1	0	no	no	https://github.com/StexX/catpiler
Swizec/lolcode.macro-example	JavaScript	1	0	no	no	https://github.com/Swizec/lolcode.macro-example
Teach-Programming/LolCode		1	0	no	no	https://github.com/Teach-Programming/LolCode
TechDudie/learning-lolcode	LOLCODE	1	0	no	yes	https://github.com/TechDudie/learning-lolcode
TheWrongAlice/ROK-PAPR-STABBERS	LOLCODE	1	0	no	yes	https://github.com/TheWrongAlice/ROK-PAPR-STABBERS
Yash-Singh1/lolcode-console	JavaScript	1	0	no	no	https://github.com/Yash-Singh1/lolcode-console
abhinavk001/my-first-esoteric-lang	LOLCODE	1	0	no	yes	https://github.com/abhinavk001/my-first-esoteric-lang
ajgajg1134/LolcodeInterpreter		1	0	no	no	https://github.com/ajgajg1134/LolcodeInterpreter
aleless/Guess-the-Numer-LOLCODE	LOLCODE	1	0	no	yes	https://github.com/aleless/Guess-the-Numer-LOLCODE
calebwherry/LOLCODE-Examples		1	0	no	no	https://github.com/calebwherry/LOLCODE-Examples
cemtuver/aoc21-lolcode	LOLCODE	1	0	no	yes	https://github.com/cemtuver/aoc21-lolcode
chriswaugh/lolbuzz	LOLCODE	1	0	no	yes	https://github.com/chriswaugh/lolbuzz
chunkybanana/PXLCODE	Python	1	0	no	no	https://github.com/chunkybanana/PXLCODE
d-stew/lmaonade-stand	Makefile	1	0	no	no	https://github.com/d-stew/lmaonade-stand
denzven/PalindromeChecker.lol	LOLCODE	1	0	no	yes	https://github.com/denzven/PalindromeChecker.lol
dunngh/LOLtranslator	C++	1	0	no	no	https://github.com/dunngh/LOLtranslator
francisquianzon/CMSC124-LOLCode-Interpreter	Python	1	0	no	no	https://github.com/francisquianzon/CMSC124-LOLCode-Interpreter
fruit-in/lolcat-translator	LOLCODE	1	0	no	yes	https://github.com/fruit-in/lolcat-translator
hmlendea/rock-paper-scissors-lolcode	LOLCODE	1	0	no	yes	https://github.com/hmlendea/rock-paper-scissors-lolcode
huyvohcmc/lolcode-parser	Scala	1	0	no	no	https://github.com/huyvohcmc/lolcode-parser
ishowportugal/LOLCODE	LOLCODE	1	0	no	yes	https://github.com/ishowportugal/LOLCODE
keijeizei/nyanterpreter	JavaScript	1	0	no	no	https://github.com/keijeizei/nyanterpreter
marioaquino/LOLcode.tmbundle		1	0	no	no	https://github.com/marioaquino/LOLcode.tmbundle
markwatkinson/lol-cm	JavaScript	1	0	no	no	https://github.com/markwatkinson/lol-cm
markwatkinson/loljs	JavaScript	1	0	yes	no	https://github.com/markwatkinson/loljs
markwongsk/LOLCODE	Standard ML	1	0	no	no	https://github.com/markwongsk/LOLCODE
martinmorando/lolcode	LOLCODE	1	0	no	yes	https://github.com/martinmorando/lolcode
mclarkk/LOLCode	Python	1	0	no	no	https://github.com/mclarkk/LOLCode
mishaaq/pylol	Python	1	0	no	no	https://github.com/mishaaq/pylol
morristech/LOLCode	Java	1	0	no	no	https://github.com/morristech/LOLCode
netfri25/magshimim-trivia-lol		1	0	no	no	https://github.com/netfri25/magshimim-trivia-lol
oey192/LOLCODE2Cplusplus	C++	1	0	no	no	https://github.com/oey192/LOLCODE2Cplusplus
prisems/LOLCODE-Calculator-v2	LOLCODE	1	0	no	yes	https://github.com/prisems/LOLCODE-Calculator-v2
racarlos/lolterpreter	Python	1	0	no	no	https://github.com/racarlos/lolterpreter
ryzbaka/LOLCODE-STUFF	LOLCODE	1	0	no	yes	https://github.com/ryzbaka/LOLCODE-STUFF
shaunlgs/lolcode-simple-algorithms	LOLCODE	1	0	yes	yes	https://github.com/shaunlgs/lolcode-simple-algorithms
sjansen/lolcode-go	Go	1	0	no	no	https://github.com/sjansen/lolcode-go
stephen-riley/lolc	C#	1	0	no	no	https://github.com/stephen-riley/lolc
stephenchouca/lol2cpp	C++	1	0	no	no	https://github.com/stephenchouca/lol2cpp
threeifbywhiskey/vim-lolcode	VimL	1	0	no	no	https://github.com/threeifbywhiskey/vim-lolcode
tmaciejewski/lcc	C	1	0	no	no	https://github.com/tmaciejewski/lcc
wspace/0x0dea-lolcode	LOLCODE	1	0	no	yes	https://github.com/wspace/0x0dea-lolcode
yule/lolcode		1	0	no	no	https://github.com/yule/lolcode
darylldan/lolcode-testcases	LOLCODE	0	5	no	yes	https://github.com/darylldan/lolcode-testcases
DvaeFroot/cmsc124-lolcode-interpreter	Python	0	4	yes	yes	https://github.com/DvaeFroot/cmsc124-lolcode-interpreter
jpcarreon/loco	Java	0	4	yes	yes	https://github.com/jpcarreon/loco
mattleibow/dotnet-lolcode	C#	0	4	no	yes	https://github.com/mattleibow/dotnet-lolcode
driee17/cmsc124-project	Python	0	3	no	yes	https://github.com/driee17/cmsc124-project
mldamalerio/LOLCODE-Interpreter	Python	0	3	no	yes	https://github.com/mldamalerio/LOLCODE-Interpreter
mreifer1/RUST_LOLCODE_COMPILER	Rust	0	3	no	yes	https://github.com/mreifer1/RUST_LOLCODE_COMPILER
nicodecastro/lolcode-interpreter	Python	0	3	yes	yes	https://github.com/nicodecastro/lolcode-interpreter
roxanneypr/LolCode-interpreter	Python	0	3	no	yes	https://github.com/roxanneypr/LolCode-interpreter
tedneward/lolcomp	Kotlin	0	3	no	yes	https://github.com/tedneward/lolcomp
Ajlyde/LOLCODE	Python	0	2	no	yes	https://github.com/Ajlyde/LOLCODE
Theoistic/lolcode-dot-net	C#	0	2	no	yes	https://github.com/Theoistic/lolcode-dot-net
chunlea/lolcode-dot-net	C#	0	2	no	yes	https://github.com/chunlea/lolcode-dot-net
garthendrich/lolcode-interpreter	Python	0	2	yes	yes	https://github.com/garthendrich/lolcode-interpreter
rdohms/lolcode-parser	PHP	0	2	no	yes	https://github.com/rdohms/lolcode-parser
unycorn/lolcode-dot-net	C#	0	2	no	yes	https://github.com/unycorn/lolcode-dot-net
EbrahimGabriel/lolcode-interpreter	Python	0	1	no	yes	https://github.com/EbrahimGabriel/lolcode-interpreter
Izaaq/Izaaq-FYP	Python	0	1	no	yes	https://github.com/Izaaq/Izaaq-FYP
MichaelSun48/LOLCODE_TTT	LOLCODE	0	1	no	yes	https://github.com/MichaelSun48/LOLCODE_TTT
RodFlores27/CMSC124Project	Python	0	1	no	yes	https://github.com/RodFlores27/CMSC124Project
SallySanban/LOLCODE-Interpreter	Python	0	1	yes	yes	https://github.com/SallySanban/LOLCODE-Interpreter
alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	Python	0	1	no	yes	https://github.com/alxzdani/LOLCODE-interpreter-cocoy-dani-kyro
amtuazon4/PyGUI	Python	0	1	no	yes	https://github.com/amtuazon4/PyGUI
bearddan2000/lolcode-cli-hello-world	Shell	0	1	no	yes	https://github.com/bearddan2000/lolcode-cli-hello-world
cbrepp/lolchess	LOLCODE	0	1	no	yes	https://github.com/cbrepp/lolchess
donno2048/Quines	HTML	0	1	no	yes	https://github.com/donno2048/Quines
jerichodolendo/lolcode-interpreter	Python	0	1	no	yes	https://github.com/jerichodolendo/lolcode-interpreter
klenndacoder69/lolcode-project-124	Python	0	1	no	yes	https://github.com/klenndacoder69/lolcode-project-124
krispypatata/lolcode-interpreter-py	Python	0	1	no	yes	https://github.com/krispypatata/lolcode-interpreter-py
ksumallo/lolspeaker	Python	0	1	no	yes	https://github.com/ksumallo/lolspeaker
maadriana/lolcode-interpreter	Python	0	1	yes	yes	https://github.com/maadriana/lolcode-interpreter
nadineanareta/lolcode-interpreter	Python	0	1	no	yes	https://github.com/nadineanareta/lolcode-interpreter
nfenciso1/lolcode-interpreter	Python	0	1	yes	yes	https://github.com/nfenciso1/lolcode-interpreter
rvantonder/antlr-lolcode	Java	0	1	no	yes	https://github.com/rvantonder/antlr-lolcode
tashrique/LOLCODE-The-Williams-Frosh-Game	LOLCODE	0	1	no	yes	https://github.com/tashrique/LOLCODE-The-Williams-Frosh-Game
williambl/lolcode-matrix-multiplier	LOLCODE	0	1	no	yes	https://github.com/williambl/lolcode-matrix-multiplier
0xKY/LOL	LOLCODE	0	0	no	yes	https://github.com/0xKY/LOL
0xicl33n/discord.lol		0	0	no	no	https://github.com/0xicl33n/discord.lol
11A11/Lolcode-spongebob-meme-text	LOLCODE	0	0	no	yes	https://github.com/11A11/Lolcode-spongebob-meme-text
3r1k0n/LOLCODEshenanigans	LOLCODE	0	0	no	yes	https://github.com/3r1k0n/LOLCODEshenanigans
5quirre1/LOLCODE-learning-progress	LOLCODE	0	0	no	yes	https://github.com/5quirre1/LOLCODE-learning-progress
AFlyingCar/Interpreter	Python	0	0	no	no	https://github.com/AFlyingCar/Interpreter
AJEvans/AdventOfCode2022	LOLCODE	0	0	no	yes	https://github.com/AJEvans/AdventOfCode2022
ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator		0	0	no	no	https://github.com/ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator
ANG3L0/mipsr10k	Verilog	0	0	no	no	https://github.com/ANG3L0/mipsr10k
AScheibe/lolcode-calculator	LOLCODE	0	0	no	yes	https://github.com/AScheibe/lolcode-calculator
Ahmadzaihabib/lolCodeFinal		0	0	no	no	https://github.com/Ahmadzaihabib/lolCodeFinal
AidanTheJsDev/lolcode-calculator	LOLCODE	0	0	no	yes	https://github.com/AidanTheJsDev/lolcode-calculator
Ajlyde/LOLCODE-group6		0	0	no	no	https://github.com/Ajlyde/LOLCODE-group6
AlisaTemp/lolcode-project	LOLCODE	0	0	no	yes	https://github.com/AlisaTemp/lolcode-project
Anormalm/EsoSim	JavaScript	0	0	no	no	https://github.com/Anormalm/EsoSim
Antropom/lolcode-docs	HTML	0	0	no	no	https://github.com/Antropom/lolcode-docs
ArnavK-09/trieslolcode	LOLCODE	0	0	no	yes	https://github.com/ArnavK-09/trieslolcode
AydenMartin/LOLCalc		0	0	no	no	https://github.com/AydenMartin/LOLCalc
BLANK-Zora/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/BLANK-Zora/LOLCODE
BOXEL-REBOUND/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/BOXEL-REBOUND/LOLCODE
Bonkowz/lolcode-interpreter-Python	Python	0	0	no	no	https://github.com/Bonkowz/lolcode-interpreter-Python
BrilZliaN/VKCode-bin		0	0	no	no	https://github.com/BrilZliaN/VKCode-bin
Brimirrrr/lolcode-interpreter	Python	0	0	no	no	https://github.com/Brimirrrr/lolcode-interpreter
BrookTheBook/Hello-World-In-LOLCODE	LOLCODE	0	0	no	yes	https://github.com/BrookTheBook/Hello-World-In-LOLCODE
CMSC124-SAT-SEM1-2021/Eclarin_A_Milla_R_LOLCODE		0	0	no	no	https://github.com/CMSC124-SAT-SEM1-2021/Eclarin_A_Milla_R_LOLCODE
CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE	LOLCODE	0	0	no	yes	https://github.com/CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE
Camto/mk.lol	LOLCODE	0	0	no	yes	https://github.com/Camto/mk.lol
CaseySchneider/LMAOcode-Compiler	Python	0	0	no	no	https://github.com/CaseySchneider/LMAOcode-Compiler
CheikOmar325/LolCode-Snippets	LOLCODE	0	0	no	yes	https://github.com/CheikOmar325/LolCode-Snippets
ChenDDDAA/LOLcode		0	0	no	no	https://github.com/ChenDDDAA/LOLcode
Chingles2404/first-lolcode-program	LOLCODE	0	0	no	yes	https://github.com/Chingles2404/first-lolcode-program
ChristianLois/CMSC124-LOLCODE-INTERPRETER	Python	0	0	no	no	https://github.com/ChristianLois/CMSC124-LOLCODE-INTERPRETER
Ckeshua/lolcode	LOLCODE	0	0	no	yes	https://github.com/Ckeshua/lolcode
Cleggatron/LoLCodeFizzBuzz	LOLCODE	0	0	no	yes	https://github.com/Cleggatron/LoLCodeFizzBuzz
ComputerGuyYash/LOLCODE-RawProgam	LOLCODE	0	0	no	yes	https://github.com/ComputerGuyYash/LOLCODE-RawProgam
ConradLax/CMSC124-LOLCode_Interpreter	Java	0	0	no	no	https://github.com/ConradLax/CMSC124-LOLCode_Interpreter
DavidBenavidez/lolcode-interpreter	C	0	0	no	no	https://github.com/DavidBenavidez/lolcode-interpreter
DeepakMartinez/LoLcode		0	0	no	no	https://github.com/DeepakMartinez/LoLcode
DrownedInAPond/Lolcode-Calculator	LOLCODE	0	0	no	yes	https://github.com/DrownedInAPond/Lolcode-Calculator
EastsidePreparatorySchool/Compilers	Java	0	0	no	no	https://github.com/EastsidePreparatorySchool/Compilers
ElroyCabalda/LOLCODE-Interpreter	Python	0	0	no	no	https://github.com/ElroyCabalda/LOLCODE-Interpreter
EmptineX/Lolcode	LOLCODE	0	0	no	yes	https://github.com/EmptineX/Lolcode
EmritYR/LOLCODE-PARSER	Python	0	0	no	no	https://github.com/EmritYR/LOLCODE-PARSER
EtherDaler/lolcode-iterpr	C++	0	0	no	no	https://github.com/EtherDaler/lolcode-iterpr
EvanCPSC/lolcodes	LOLCODE	0	0	no	yes	https://github.com/EvanCPSC/lolcodes
FlamongoBird/LOLCODE-Fib	LOLCODE	0	0	no	yes	https://github.com/FlamongoBird/LOLCODE-Fib
FoxWorn3365/LOL-Test	LOLCODE	0	0	no	yes	https://github.com/FoxWorn3365/LOL-Test
Gaurav2015/lolcode2	C	0	0	no	no	https://github.com/Gaurav2015/lolcode2
GayathriPCh/LoLCode-AI	TypeScript	0	0	no	no	https://github.com/GayathriPCh/LoLCode-AI
Github12121/LOLCODE-STUFF	LOLCODE	0	0	no	yes	https://github.com/Github12121/LOLCODE-STUFF
IceboxDev/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/IceboxDev/LOLCODE
InversionSpaces/lolcode-interpreter	C++	0	0	no	no	https://github.com/InversionSpaces/lolcode-interpreter
JaiLeonor/LOLCODE-Interpreter	JavaScript	0	0	no	no	https://github.com/JaiLeonor/LOLCODE-Interpreter
JayJeyaruban/rlcc	Rust	0	0	no	no	https://github.com/JayJeyaruban/rlcc
Jeansidharta/lolcode-ast	Rust	0	0	no	no	https://github.com/Jeansidharta/lolcode-ast
Jeansidharta/lolcode-interpreter	Rust	0	0	no	no	https://github.com/Jeansidharta/lolcode-interpreter
Jeansidharta/lolcode-lsp	Rust	0	0	no	no	https://github.com/Jeansidharta/lolcode-lsp
Jeansidharta/lolcode_to_lua	Rust	0	0	no	no	https://github.com/Jeansidharta/lolcode_to_lua
JemTorres/lolinterpreter		0	0	no	no	https://github.com/JemTorres/lolinterpreter
JohnReeves/lolcode		0	0	no	no	https://github.com/JohnReeves/lolcode
Johnmacrocraft/stop-making-pmmp-forks	JavaScript	0	0	no	no	https://github.com/Johnmacrocraft/stop-making-pmmp-forks
JonJC/lolcode-docs	HTML	0	0	no	no	https://github.com/JonJC/lolcode-docs
JonathanMcCormickJr/lolcode-fractal-tree	LOLCODE	0	0	no	yes	https://github.com/JonathanMcCormickJr/lolcode-fractal-tree
JonathanMcCormickJr/lolcode-web-app	LOLCODE	0	0	no	yes	https://github.com/JonathanMcCormickJr/lolcode-web-app
JonathanMcCormickJr/my-first-lolcode-program	LOLCODE	0	0	no	yes	https://github.com/JonathanMcCormickJr/my-first-lolcode-program
JoshuaStapleton/lolcode-parser	Python	0	0	no	no	https://github.com/JoshuaStapleton/lolcode-parser
JramaeGallos/lmaoCode	Python	0	0	no	no	https://github.com/JramaeGallos/lmaoCode
Jun-L04/RelativelyPRIME	LOLCODE	0	0	no	yes	https://github.com/Jun-L04/RelativelyPRIME
KAYDAVID/LOLCALC	LOLCODE	0	0	no	yes	https://github.com/KAYDAVID/LOLCALC
KevinGines1/lolcode	Python	0	0	no	no	https://github.com/KevinGines1/lolcode
KyleCow/LOLCODe	LOLCODE	0	0	no	yes	https://github.com/KyleCow/LOLCODe
Legitra/LOLCODE-THINGS	Python	0	0	no	no	https://github.com/Legitra/LOLCODE-THINGS
Lizurt/jlci	Java	0	0	no	no	https://github.com/Lizurt/jlci
Ljmbautista/LOLCODE-Interpreter-CMSC-124-Project-	Java	0	0	no	no	https://github.com/Ljmbautista/LOLCODE-Interpreter-CMSC-124-Project-
LolCode9999/LOlCode99991		0	0	no	no	https://github.com/LolCode9999/LOlCode99991
MKX00/lolcode	Python	0	0	no	no	https://github.com/MKX00/lolcode
MKstarFromSwitch/lci-installer	Shell	0	0	no	no	https://github.com/MKstarFromSwitch/lci-installer
Madseffect/LOLCODE		0	0	no	no	https://github.com/Madseffect/LOLCODE
MarekGluch/lolcode-circle-and-cross	LOLCODE	0	0	no	yes	https://github.com/MarekGluch/lolcode-circle-and-cross
MarkRidings/lolcode-docs	HTML	0	0	no	no	https://github.com/MarkRidings/lolcode-docs
Mashuramaru/lolcode	LOLCODE	0	0	no	yes	https://github.com/Mashuramaru/lolcode
Matiasarapura/lolcodeanalisis.github.io	HTML	0	0	no	no	https://github.com/Matiasarapura/lolcodeanalisis.github.io
McMunchly/lolcode	LOLCODE	0	0	no	yes	https://github.com/McMunchly/lolcode
