repo	kind	priority	curation_score	language	stars	code_hit_count	reasons	html_url
antonrufino/project-iwaca	implementation	P1	34	JavaScript	0	0	implementation-signal,corpus-signal	https://github.com/antonrufino/project-iwaca
hlbreyes/lolcode-interpreter	implementation	P1	34	C#	0	0	implementation-signal,corpus-signal	https://github.com/hlbreyes/lolcode-interpreter
josephrhobbs/lolcode	implementation	P1	34	Rust	0	0	implementation-signal,corpus-signal	https://github.com/josephrhobbs/lolcode
keithliam/lolcode-interpreter	implementation	P1	34	HTML	0	0	implementation-signal,corpus-signal	https://github.com/keithliam/lolcode-interpreter
perez-aaron/CMSC-124-Project-LOLCode-Interpreter	implementation	P1	34	Python	0	0	implementation-signal,corpus-signal	https://github.com/perez-aaron/CMSC-124-Project-LOLCode-Interpreter
saveniukk/lolcode-interpreter	implementation	P1	34	Python	0	0	implementation-signal,corpus-signal	https://github.com/saveniukk/lolcode-interpreter
stephen-riley/ll-lolcode	implementation	P1	34	C#	0	0	implementation-signal,corpus-signal	https://github.com/stephen-riley/ll-lolcode
tim-speed/loljs	implementation	P1	34	JavaScript	0	0	implementation-signal,corpus-signal	https://github.com/tim-speed/loljs
xtrxtrkiyoshi/WildcatsInterpreter	implementation	P1	34	C#	0	0	implementation-signal,corpus-signal	https://github.com/xtrxtrkiyoshi/WildcatsInterpreter
ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator	implementation	P1	32		0	0	implementation-signal,docs-signal	https://github.com/ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator
jaungos/lolcode-interpreter	implementation	P1	32	Python	0	0	implementation-signal,docs-signal	https://github.com/jaungos/lolcode-interpreter
rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj	implementation	P1	27	C#	2	0	implementation-signal	https://github.com/rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj
Daniel-Pete/dolomite-lolcode-interpreter	implementation	P1	27	Python	1	0	implementation-signal	https://github.com/Daniel-Pete/dolomite-lolcode-interpreter
GerardOlviga/lolcode-interpreter	implementation	P1	27	Java	1	0	implementation-signal	https://github.com/GerardOlviga/lolcode-interpreter
StexX/catpiler	implementation	P1	27	Java	1	0	implementation-signal	https://github.com/StexX/catpiler
ajgajg1134/LolcodeInterpreter	implementation	P1	27		1	0	implementation-signal	https://github.com/ajgajg1134/LolcodeInterpreter
dunngh/LOLtranslator	implementation	P1	27	C++	1	0	implementation-signal,impl-root-signal	https://github.com/dunngh/LOLtranslator
huyvohcmc/lolcode-parser	implementation	P1	27	Scala	1	0	implementation-signal	https://github.com/huyvohcmc/lolcode-parser
markwongsk/LOLCODE	implementation	P1	27	Standard ML	1	0	implementation-signal,impl-root-signal	https://github.com/markwongsk/LOLCODE
mclarkk/LOLCode	implementation	P1	27	Python	1	0	implementation-signal	https://github.com/mclarkk/LOLCode
morristech/LOLCode	implementation	P1	27	Java	1	0	implementation-signal	https://github.com/morristech/LOLCode
netfri25/magshimim-trivia-lol	implementation	P1	27		1	0	implementation-signal	https://github.com/netfri25/magshimim-trivia-lol
oey192/LOLCODE2Cplusplus	implementation	P1	27	C++	1	0	implementation-signal	https://github.com/oey192/LOLCODE2Cplusplus
gomfunkel/lolcode-playground	tooling	P2	25		5	0	tooling-signal,corpus-signal	https://github.com/gomfunkel/lolcode-playground
Swizec/lolcode.macro-example	tooling	P2	25	JavaScript	1	0	tooling-signal,corpus-signal	https://github.com/Swizec/lolcode.macro-example
AFlyingCar/Interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/AFlyingCar/Interpreter
Ajlyde/LOLCODE-group6	implementation	P1	24		0	0	implementation-signal	https://github.com/Ajlyde/LOLCODE-group6
BrilZliaN/VKCode-bin	implementation	P1	24		0	0	implementation-signal,impl-root-signal	https://github.com/BrilZliaN/VKCode-bin
Brimirrrr/lolcode-interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/Brimirrrr/lolcode-interpreter
ConradLax/CMSC124-LOLCode_Interpreter	implementation	P1	24	Java	0	0	implementation-signal,impl-root-signal	https://github.com/ConradLax/CMSC124-LOLCode_Interpreter
DavidBenavidez/lolcode-interpreter	implementation	P1	24	C	0	0	implementation-signal	https://github.com/DavidBenavidez/lolcode-interpreter
EastsidePreparatorySchool/Compilers	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/EastsidePreparatorySchool/Compilers
ElroyCabalda/LOLCODE-Interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/ElroyCabalda/LOLCODE-Interpreter
Gaurav2015/lolcode2	implementation	P1	24	C	0	0	implementation-signal,impl-root-signal	https://github.com/Gaurav2015/lolcode2
Jeansidharta/lolcode-interpreter	implementation	P1	24	Rust	0	0	implementation-signal	https://github.com/Jeansidharta/lolcode-interpreter
Jeansidharta/lolcode_to_lua	implementation	P1	24	Rust	0	0	implementation-signal	https://github.com/Jeansidharta/lolcode_to_lua
JemTorres/lolinterpreter	implementation	P1	24		0	0	implementation-signal	https://github.com/JemTorres/lolinterpreter
JramaeGallos/lmaoCode	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/JramaeGallos/lmaoCode
Lizurt/jlci	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/Lizurt/jlci
MKX00/lolcode	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/MKX00/lolcode
Multiball/LOLCAML	implementation	P1	24	OCaml	0	0	implementation-signal	https://github.com/Multiball/LOLCAML
Pigottni/LOLcode_Project	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/Pigottni/LOLcode_Project
Rex-Kim/LOLCODE	implementation	P1	24	C	0	0	implementation-signal,impl-root-signal	https://github.com/Rex-Kim/LOLCODE
SKDelow/lolcode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/SKDelow/lolcode
Sig00rd/lol2py	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/Sig00rd/lol2py
Surachhya/LOLCODE_Markdown_Compiler	implementation	P1	24	Rust	0	0	implementation-signal	https://github.com/Surachhya/LOLCODE_Markdown_Compiler
Vapidjimbo/LOLCode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/Vapidjimbo/LOLCode
Welcome-To-My-Repo/LOLCODE-Compiler	implementation	P1	24	C	0	0	implementation-signal	https://github.com/Welcome-To-My-Repo/LOLCODE-Compiler
Yana-Koroliuk/LOLCODE-Interpreter	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/Yana-Koroliuk/LOLCODE-Interpreter
achiisan/LOLCode	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/achiisan/LOLCode
acnadua/lolcode_interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/acnadua/lolcode_interpreter
alexpana/lolcode.js	implementation	P1	24	JavaScript	0	0	implementation-signal	https://github.com/alexpana/lolcode.js
alisshamac/LOLCODE-Compiler	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/alisshamac/LOLCODE-Compiler
anatolyburtsev/lolcode_ply_interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/anatolyburtsev/lolcode_ply_interpreter
baotoq/LolCode	implementation	P1	24	Scala	0	0	implementation-signal	https://github.com/baotoq/LolCode
bdwilliamsvanzant/LolCode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/bdwilliamsvanzant/LolCode
bfedward/lolcoders	implementation	P1	24	Rust	0	0	implementation-signal	https://github.com/bfedward/lolcoders
bmwoods1111/LOLCode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/bmwoods1111/LOLCode
brlimarce/lmao-code	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/brlimarce/lmao-code
camaeyeban/lolcode_interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/camaeyeban/lolcode_interpreter
cgtnt/lolcode-interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/cgtnt/lolcode-interpreter
chjuruena/LOLCODE_Interpreter_CMSC124	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/chjuruena/LOLCODE_Interpreter_CMSC124
cj-mm/LOLterpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/cj-mm/LOLterpreter
cloew/LOLCodeParser	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/cloew/LOLCodeParser
clstia/124_LOLCode_Interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/clstia/124_LOLCode_Interpreter
cslabiano/cmsc124-project	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/cslabiano/cmsc124-project
cyronquillo/lolcode-interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/cyronquillo/lolcode-interpreter
da1ssk7/justinmezad	implementation	P1	24		0	0	implementation-signal	https://github.com/da1ssk7/justinmezad
dreamcruise/lolcode	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/dreamcruise/lolcode
eaedgington/LOLCODE	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/eaedgington/LOLCODE
elishaluzano/124-LOLCODE-Interpreter	implementation	P1	24	JavaScript	0	0	implementation-signal	https://github.com/elishaluzano/124-LOLCODE-Interpreter
fhchina/lolcode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/fhchina/lolcode
foshesss/ROFLCODE	implementation	P1	24	C++	0	0	implementation-signal	https://github.com/foshesss/ROFLCODE
fromanan/lolcode	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/fromanan/lolcode
gcpelletero/LOLCode-Interpreter-Project-	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/gcpelletero/LOLCode-Interpreter-Project-
hkunkel2/lolcode	implementation	P1	24	Rust	0	0	implementation-signal	https://github.com/hkunkel2/lolcode
hoangleminh2709/lolcode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/hoangleminh2709/lolcode
jcgaza/LOLCode-Interpreter	implementation	P1	24	JavaScript	0	0	implementation-signal	https://github.com/jcgaza/LOLCode-Interpreter
jemacalalad/CMSC124-LOLcode-Interpreter-Final-Project	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/jemacalalad/CMSC124-LOLcode-Interpreter-Final-Project
jgjadaoag/cmsc124-lolcode-interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/jgjadaoag/cmsc124-lolcode-interpreter
jhuang314/lolcode-compiler	implementation	P1	24	C	0	0	implementation-signal	https://github.com/jhuang314/lolcode-compiler
jirrroooo/Lolcode-Interpreter	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/jirrroooo/Lolcode-Interpreter
jlmatienzo/CMSC124-project	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/jlmatienzo/CMSC124-project
jvesguerra/LOLCode_interpreter	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/jvesguerra/LOLCode_interpreter
lehahel/lolcode	implementation	P1	24	C++	0	0	implementation-signal	https://github.com/lehahel/lolcode
lmlawas/lolterpreter-2000	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/lmlawas/lolterpreter-2000
markarenillo/LOLCODE-Interpreter	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/markarenillo/LOLCODE-Interpreter
michal98kowalczyk/LolcodeCompiler	implementation	P1	24	Java	0	0	implementation-signal,impl-root-signal	https://github.com/michal98kowalczyk/LolcodeCompiler
miixs/CMSC124_LOLCODE_Interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/miixs/CMSC124_LOLCODE_Interpreter
mikhmakarov/lolcode_interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/mikhmakarov/lolcode_interpreter
morristech/LOLCodeInterpreter	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/morristech/LOLCodeInterpreter
mphay/LOLCODE-Compiler	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/mphay/LOLCODE-Compiler
msbitancor/LOLCODE-interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/msbitancor/LOLCODE-interpreter
msteinmetz1/LOLCode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/msteinmetz1/LOLCode
naynesmikel/LOLCode_Interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/naynesmikel/LOLCode_Interpreter
nikilink/lolcode-dot-net	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/nikilink/lolcode-dot-net
noreenlouisecb/CMSC124-LOLCODE-Interpreter	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/noreenlouisecb/CMSC124-LOLCODE-Interpreter
norvylle/lci	implementation	P1	24	C#	0	0	implementation-signal	https://github.com/norvylle/lci
nourishk7c8/cosc455-lolcode-html-compiler	implementation	P1	24	Java	0	0	implementation-signal,impl-root-signal	https://github.com/nourishk7c8/cosc455-lolcode-html-compiler
patmaevrgs/LOLCode-Interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/patmaevrgs/LOLCode-Interpreter
pksinghus/lolcode	implementation	P1	24	HTML	0	0	implementation-signal	https://github.com/pksinghus/lolcode
pvtan/CMSC124LOLCODE_Interpreter	implementation	P1	24	C#	0	0	implementation-signal,impl-root-signal	https://github.com/pvtan/CMSC124LOLCODE_Interpreter
ranmocy/lolcode	implementation	P1	24	Ruby	0	0	implementation-signal	https://github.com/ranmocy/lolcode
rlknre/lolcode-interpreter-proj	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/rlknre/lolcode-interpreter-proj
roboJF/lolcode_compiler	implementation	P1	24	Rust	0	0	implementation-signal	https://github.com/roboJF/lolcode_compiler
robstoll/lolcode	implementation	P1	24	C++	0	0	implementation-signal,noise-signal	https://github.com/robstoll/lolcode
ryanresoles/LOLCODE-compiler	implementation	P1	24		0	0	implementation-signal	https://github.com/ryanresoles/LOLCODE-compiler
seancua/CMSC124-Project	implementation	P1	24		0	0	implementation-signal	https://github.com/seancua/CMSC124-Project
sh1roee/LOLCode-Interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/sh1roee/LOLCode-Interpreter
starquell/LOLCODE-Interpreter	implementation	P1	24	C++	0	0	implementation-signal	https://github.com/starquell/LOLCODE-Interpreter
stephen-riley/lolcode	implementation	P1	24	Perl	0	0	implementation-signal	https://github.com/stephen-riley/lolcode
superman12747-crypto/esolang-bucket	implementation	P1	24		0	0	implementation-signal	https://github.com/superman12747-crypto/esolang-bucket
swaghma1-cosc-455/cosc_455_lolcode_compiler_project	implementation	P1	24	Rust	0	0	implementation-signal,impl-root-signal	https://github.com/swaghma1-cosc-455/cosc_455_lolcode_compiler_project
taddeus/lolwut	implementation	P1	24	OCaml	0	0	implementation-signal	https://github.com/taddeus/lolwut
taj-caeli/lolcode-interpreter	implementation	P1	24	Python	0	0	implementation-signal	https://github.com/taj-caeli/lolcode-interpreter
tony-stark18/LolCode	implementation	P1	24	C++	0	0	implementation-signal	https://github.com/tony-stark18/LolCode
yawkat/lolcode	implementation	P1	24	Java	0	0	implementation-signal	https://github.com/yawkat/lolcode
zenithcipriano/LOLCode-Interpreter	implementation	P1	24		0	0	implementation-signal	https://github.com/zenithcipriano/LOLCode-Interpreter
BGP100/LOLCODE-Guide	docs	P2	21		1	0	docs-signal,corpus-signal	https://github.com/BGP100/LOLCODE-Guide
arwinneil/vscode-lolcode	tooling	P2	20		15	0	tooling-signal	https://github.com/arwinneil/vscode-lolcode
Swizec/lolcode-babel-macro	tooling	P2	20	JavaScript	12	0	tooling-signal	https://github.com/Swizec/lolcode-babel-macro
justinmeza/lolcode-spec	docs	P2	16		631	0	docs-signal	https://github.com/justinmeza/lolcode-spec
leyarotheconquerer/lolcode-reference	docs	P2	16	HTML	14	0	docs-signal	https://github.com/leyarotheconquerer/lolcode-reference
CodaFi/LOLCODE.tmLanguage	tooling	P2	15		8	0	tooling-signal	https://github.com/CodaFi/LOLCODE.tmLanguage
Xe/lolcode.vim	tooling	P2	15	VimL	7	0	tooling-signal	https://github.com/Xe/lolcode.vim
mapmeld/MapPLZ	tooling	P2	15	JavaScript	6	0	tooling-signal	https://github.com/mapmeld/MapPLZ
bodil/lolcode-mode	tooling	P2	15	Emacs Lisp	3	0	tooling-signal	https://github.com/bodil/lolcode-mode
KrazIvan/LOLCODE-grammar-vscode	tooling	P2	15	TypeScript	2	0	tooling-signal	https://github.com/KrazIvan/LOLCODE-grammar-vscode
calvinmm/lolcode-dsl	tooling	P2	15	Scala	2	0	tooling-signal	https://github.com/calvinmm/lolcode-dsl
fabasoad/setup-lolcode-action	tooling	P2	15	Shell	2	0	tooling-signal	https://github.com/fabasoad/setup-lolcode-action
rae-ralston/can-i-haz-blockchain	tooling	P2	15	JavaScript	2	0	tooling-signal	https://github.com/rae-ralston/can-i-haz-blockchain
steenhulthin/LOLCODE_NPP	tooling	P2	15		2	0	tooling-signal	https://github.com/steenhulthin/LOLCODE_NPP
Lucki/gtksourceview-lolcode	tooling	P2	15		1	0	tooling-signal	https://github.com/Lucki/gtksourceview-lolcode
marioaquino/LOLcode.tmbundle	tooling	P2	15		1	0	tooling-signal	https://github.com/marioaquino/LOLcode.tmbundle
threeifbywhiskey/vim-lolcode	tooling	P2	15	VimL	1	0	tooling-signal	https://github.com/threeifbywhiskey/vim-lolcode
TheDummi/Meow	corpus	P3	14	LOLCODE	1	1	corpus-signal,also-in-language-snapshot	https://github.com/TheDummi/Meow
mathisneunzig/LOLCODE	corpus	P3	14	LOLCODE	1	1	corpus-signal,also-in-language-snapshot	https://github.com/mathisneunzig/LOLCODE
mjrb/mongo-lol-driver-example	corpus	P3	14	LOLCODE	1	1	corpus-signal,also-in-language-snapshot	https://github.com/mjrb/mongo-lol-driver-example
Chameleon-Coder/cat-journey	corpus	P3	13	LOLCODE	2	0	corpus-signal,also-in-language-snapshot	https://github.com/Chameleon-Coder/cat-journey
EloniX-X/LOLCODE-calculator	corpus	P3	13	LOLCODE	2	0	corpus-signal,also-in-language-snapshot	https://github.com/EloniX-X/LOLCODE-calculator
nathanchere/HackerRank_LOLCODE	corpus	P3	13	LOLCODE	2	0	corpus-signal,also-in-language-snapshot	https://github.com/nathanchere/HackerRank_LOLCODE
rodrigocaldeira/Bitcoin-Prices	corpus	P3	13	LOLCODE	2	0	corpus-signal,also-in-language-snapshot	https://github.com/rodrigocaldeira/Bitcoin-Prices
shreyaslad/Fun-with-LOLCODE	corpus	P3	13	LOLCODE	2	0	corpus-signal,also-in-language-snapshot	https://github.com/shreyaslad/Fun-with-LOLCODE
Chameleon-Coder/stunning-sniffle	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/Chameleon-Coder/stunning-sniffle
ChristopherA8/lolcalc	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/ChristopherA8/lolcalc
Idkwhoami42/Lolcode	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/Idkwhoami42/Lolcode
Nameless9000/LOLCODE_Shell	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/Nameless9000/LOLCODE_Shell
Nicolas-hr/Lolcode	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/Nicolas-hr/Lolcode
TechDudie/learning-lolcode	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/TechDudie/learning-lolcode
TheWrongAlice/ROK-PAPR-STABBERS	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/TheWrongAlice/ROK-PAPR-STABBERS
abhinavk001/my-first-esoteric-lang	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/abhinavk001/my-first-esoteric-lang
aleless/Guess-the-Numer-LOLCODE	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/aleless/Guess-the-Numer-LOLCODE
calebwherry/LOLCODE-Examples	corpus	P3	13		1	0	corpus-signal	https://github.com/calebwherry/LOLCODE-Examples
cemtuver/aoc21-lolcode	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/cemtuver/aoc21-lolcode
chriswaugh/lolbuzz	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/chriswaugh/lolbuzz
denzven/PalindromeChecker.lol	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/denzven/PalindromeChecker.lol
hmlendea/rock-paper-scissors-lolcode	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/hmlendea/rock-paper-scissors-lolcode
ishowportugal/LOLCODE	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/ishowportugal/LOLCODE
martinmorando/lolcode	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/martinmorando/lolcode
prisems/LOLCODE-Calculator-v2	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/prisems/LOLCODE-Calculator-v2
ryzbaka/LOLCODE-STUFF	corpus	P3	13	LOLCODE	1	0	corpus-signal,also-in-language-snapshot	https://github.com/ryzbaka/LOLCODE-STUFF
yule/lolcode	corpus	P3	13		1	0	corpus-signal	https://github.com/yule/lolcode
SandeeepKiran/LOLCODE	docs	P2	11		1	0	docs-signal	https://github.com/SandeeepKiran/LOLCODE
MichaelSun48/LOLCODE_TTT	corpus	P3	11	LOLCODE	0	1	corpus-signal,also-in-language-snapshot	https://github.com/MichaelSun48/LOLCODE_TTT
cbrepp/lolchess	corpus	P3	11	LOLCODE	0	1	corpus-signal,also-in-language-snapshot	https://github.com/cbrepp/lolchess
donno2048/Quines	corpus	P3	11	HTML	0	1	corpus-signal,also-in-language-snapshot	https://github.com/donno2048/Quines
klenndacoder69/lolcode-project-124	corpus	P3	11	Python	0	1	corpus-signal,also-in-language-snapshot	https://github.com/klenndacoder69/lolcode-project-124
tashrique/LOLCODE-The-Williams-Frosh-Game	corpus	P3	11	LOLCODE	0	1	corpus-signal,also-in-language-snapshot	https://github.com/tashrique/LOLCODE-The-Williams-Frosh-Game
williambl/lolcode-matrix-multiplier	corpus	P3	11	LOLCODE	0	1	corpus-signal,also-in-language-snapshot	https://github.com/williambl/lolcode-matrix-multiplier
0xKY/LOL	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/0xKY/LOL
11A11/Lolcode-spongebob-meme-text	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/11A11/Lolcode-spongebob-meme-text
3r1k0n/LOLCODEshenanigans	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/3r1k0n/LOLCODEshenanigans
AJEvans/AdventOfCode2022	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/AJEvans/AdventOfCode2022
AScheibe/lolcode-calculator	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/AScheibe/lolcode-calculator
AidanTheJsDev/lolcode-calculator	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/AidanTheJsDev/lolcode-calculator
AlisaTemp/lolcode-project	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/AlisaTemp/lolcode-project
ArnavK-09/trieslolcode	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/ArnavK-09/trieslolcode
BLANK-Zora/LOLCODE	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/BLANK-Zora/LOLCODE
CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE
Camto/mk.lol	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/Camto/mk.lol
CheikOmar325/LolCode-Snippets	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/CheikOmar325/LolCode-Snippets
Chingles2404/first-lolcode-program	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/Chingles2404/first-lolcode-program
Ckeshua/lolcode	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/Ckeshua/lolcode
Cleggatron/LoLCodeFizzBuzz	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/Cleggatron/LoLCodeFizzBuzz
ComputerGuyYash/LOLCODE-RawProgam	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/ComputerGuyYash/LOLCODE-RawProgam
DrownedInAPond/Lolcode-Calculator	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/DrownedInAPond/Lolcode-Calculator
EmptineX/Lolcode	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/EmptineX/Lolcode
EvanCPSC/lolcodes	corpus	P3	10	LOLCODE	0	0	corpus-signal,also-in-language-snapshot	https://github.com/EvanCPSC/lolcodes
