repo	language	stars	code_hit_count	source	status	html_url
rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj	C#	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj
rodrigocaldeira/Bitcoin-Prices	LOLCODE	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rodrigocaldeira/Bitcoin-Prices
seanpm2001/Bliss_Browser_LOLCODE	LOLCODE	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/seanpm2001/Bliss_Browser_LOLCODE
shreyaslad/Fun-with-LOLCODE	LOLCODE	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/shreyaslad/Fun-with-LOLCODE
steenhulthin/LOLCODE_NPP		2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/steenhulthin/LOLCODE_NPP
timotei/lolcode_to_c	C	2	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/timotei/lolcode_to_c
lolcodepp/lci	C	1	10	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/lolcodepp/lci
nikitagrygoriev/LOLCODE_Compiler	Java	1	6	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/nikitagrygoriev/LOLCODE_Compiler
CharlesTabuzo/LOLCODE-interpreter	Python	1	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/CharlesTabuzo/LOLCODE-interpreter
camanzanido/LOLCODE-Interpreter	Python	1	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/camanzanido/LOLCODE-Interpreter
cvpua/CMSC124_Project	Python	1	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/cvpua/CMSC124_Project
gitsly/lolcode-dot-net	C#	1	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/gitsly/lolcode-dot-net
mutcianm/lolcodec	Java	1	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mutcianm/lolcodec
ABCD-rgb/lolcode-interpreter	Python	1	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ABCD-rgb/lolcode-interpreter
TheDummi/Meow	LOLCODE	1	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/TheDummi/Meow
jedalain/cmsc-124-lolcode-project	Python	1	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/jedalain/cmsc-124-lolcode-project
mathisneunzig/LOLCODE	LOLCODE	1	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mathisneunzig/LOLCODE
mjrb/mongo-lol-driver-example	LOLCODE	1	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mjrb/mongo-lol-driver-example
monumei/skibidi-brat	Python	1	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/monumei/skibidi-brat
Arfuirl/Text-Adventure-in-LOLCODE		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Arfuirl/Text-Adventure-in-LOLCODE
BGP100/LOLCODE-Guide		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/BGP100/LOLCODE-Guide
Chameleon-Coder/lolcode-rpg-template	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Chameleon-Coder/lolcode-rpg-template
Chameleon-Coder/stunning-sniffle	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Chameleon-Coder/stunning-sniffle
ChristopherA8/lolcalc	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ChristopherA8/lolcalc
Daniel-Pete/dolomite-lolcode-interpreter	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Daniel-Pete/dolomite-lolcode-interpreter
Devedir/lolcodeweb	HTML	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Devedir/lolcodeweb
GerardOlviga/lolcode-interpreter	Java	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/GerardOlviga/lolcode-interpreter
Idkwhoami42/Lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Idkwhoami42/Lolcode
InzamamRahaman/LOLCODE	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/InzamamRahaman/LOLCODE
Lucki/gtksourceview-lolcode		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Lucki/gtksourceview-lolcode
MemeFlavor/LOLSCRIPT	Lua	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/MemeFlavor/LOLSCRIPT
Nameless9000/LOLCODE_Shell	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Nameless9000/LOLCODE_Shell
Nicolas-hr/Lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Nicolas-hr/Lolcode
SandeeepKiran/LOLCODE		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/SandeeepKiran/LOLCODE
Shellanigans/EmojiPaster	PowerShell	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Shellanigans/EmojiPaster
StexX/catpiler	Java	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/StexX/catpiler
Swizec/lolcode.macro-example	JavaScript	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Swizec/lolcode.macro-example
Teach-Programming/LolCode		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Teach-Programming/LolCode
TechDudie/learning-lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/TechDudie/learning-lolcode
TheWrongAlice/ROK-PAPR-STABBERS	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/TheWrongAlice/ROK-PAPR-STABBERS
Yash-Singh1/lolcode-console	JavaScript	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Yash-Singh1/lolcode-console
abhinavk001/my-first-esoteric-lang	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/abhinavk001/my-first-esoteric-lang
ajgajg1134/LolcodeInterpreter		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ajgajg1134/LolcodeInterpreter
aleless/Guess-the-Numer-LOLCODE	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/aleless/Guess-the-Numer-LOLCODE
calebwherry/LOLCODE-Examples		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/calebwherry/LOLCODE-Examples
cemtuver/aoc21-lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/cemtuver/aoc21-lolcode
chriswaugh/lolbuzz	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/chriswaugh/lolbuzz
chunkybanana/PXLCODE	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/chunkybanana/PXLCODE
d-stew/lmaonade-stand	Makefile	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/d-stew/lmaonade-stand
denzven/PalindromeChecker.lol	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/denzven/PalindromeChecker.lol
dunngh/LOLtranslator	C++	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/dunngh/LOLtranslator
francisquianzon/CMSC124-LOLCode-Interpreter	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/francisquianzon/CMSC124-LOLCode-Interpreter
fruit-in/lolcat-translator	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/fruit-in/lolcat-translator
hmlendea/rock-paper-scissors-lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/hmlendea/rock-paper-scissors-lolcode
huyvohcmc/lolcode-parser	Scala	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/huyvohcmc/lolcode-parser
ishowportugal/LOLCODE	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ishowportugal/LOLCODE
keijeizei/nyanterpreter	JavaScript	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/keijeizei/nyanterpreter
marioaquino/LOLcode.tmbundle		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/marioaquino/LOLcode.tmbundle
markwatkinson/lol-cm	JavaScript	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/markwatkinson/lol-cm
markwongsk/LOLCODE	Standard ML	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/markwongsk/LOLCODE
martinmorando/lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/martinmorando/lolcode
mclarkk/LOLCode	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mclarkk/LOLCode
mishaaq/pylol	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mishaaq/pylol
morristech/LOLCode	Java	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/morristech/LOLCode
netfri25/magshimim-trivia-lol		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/netfri25/magshimim-trivia-lol
oey192/LOLCODE2Cplusplus	C++	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/oey192/LOLCODE2Cplusplus
prisems/LOLCODE-Calculator-v2	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/prisems/LOLCODE-Calculator-v2
racarlos/lolterpreter	Python	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/racarlos/lolterpreter
ryzbaka/LOLCODE-STUFF	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ryzbaka/LOLCODE-STUFF
sjansen/lolcode-go	Go	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/sjansen/lolcode-go
stephen-riley/lolc	C#	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/stephen-riley/lolc
stephenchouca/lol2cpp	C++	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/stephenchouca/lol2cpp
threeifbywhiskey/vim-lolcode	VimL	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/threeifbywhiskey/vim-lolcode
tmaciejewski/lcc	C	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/tmaciejewski/lcc
wspace/0x0dea-lolcode	LOLCODE	1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/wspace/0x0dea-lolcode
yule/lolcode		1	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/yule/lolcode
darylldan/lolcode-testcases	LOLCODE	0	5	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/darylldan/lolcode-testcases
mattleibow/dotnet-lolcode	C#	0	4	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mattleibow/dotnet-lolcode
driee17/cmsc124-project	Python	0	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/driee17/cmsc124-project
mldamalerio/LOLCODE-Interpreter	Python	0	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mldamalerio/LOLCODE-Interpreter
mreifer1/RUST_LOLCODE_COMPILER	Rust	0	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/mreifer1/RUST_LOLCODE_COMPILER
roxanneypr/LolCode-interpreter	Python	0	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/roxanneypr/LolCode-interpreter
tedneward/lolcomp	Kotlin	0	3	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/tedneward/lolcomp
Ajlyde/LOLCODE	Python	0	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Ajlyde/LOLCODE
Theoistic/lolcode-dot-net	C#	0	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Theoistic/lolcode-dot-net
chunlea/lolcode-dot-net	C#	0	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/chunlea/lolcode-dot-net
rdohms/lolcode-parser	PHP	0	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rdohms/lolcode-parser
unycorn/lolcode-dot-net	C#	0	2	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/unycorn/lolcode-dot-net
EbrahimGabriel/lolcode-interpreter	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/EbrahimGabriel/lolcode-interpreter
Izaaq/Izaaq-FYP	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Izaaq/Izaaq-FYP
MichaelSun48/LOLCODE_TTT	LOLCODE	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/MichaelSun48/LOLCODE_TTT
RodFlores27/CMSC124Project	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/RodFlores27/CMSC124Project
alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/alxzdani/LOLCODE-interpreter-cocoy-dani-kyro
amtuazon4/PyGUI	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/amtuazon4/PyGUI
bearddan2000/lolcode-cli-hello-world	Shell	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/bearddan2000/lolcode-cli-hello-world
cbrepp/lolchess	LOLCODE	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/cbrepp/lolchess
donno2048/Quines	HTML	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/donno2048/Quines
jerichodolendo/lolcode-interpreter	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/jerichodolendo/lolcode-interpreter
klenndacoder69/lolcode-project-124	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/klenndacoder69/lolcode-project-124
krispypatata/lolcode-interpreter-py	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/krispypatata/lolcode-interpreter-py
ksumallo/lolspeaker	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ksumallo/lolspeaker
nadineanareta/lolcode-interpreter	Python	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/nadineanareta/lolcode-interpreter
rvantonder/antlr-lolcode	Java	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/rvantonder/antlr-lolcode
tashrique/LOLCODE-The-Williams-Frosh-Game	LOLCODE	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/tashrique/LOLCODE-The-Williams-Frosh-Game
williambl/lolcode-matrix-multiplier	LOLCODE	0	1	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/williambl/lolcode-matrix-multiplier
0xKY/LOL	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/0xKY/LOL
0xicl33n/discord.lol		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/0xicl33n/discord.lol
11A11/Lolcode-spongebob-meme-text	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/11A11/Lolcode-spongebob-meme-text
3r1k0n/LOLCODEshenanigans	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/3r1k0n/LOLCODEshenanigans
5quirre1/LOLCODE-learning-progress	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/5quirre1/LOLCODE-learning-progress
AFlyingCar/Interpreter	Python	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/AFlyingCar/Interpreter
AJEvans/AdventOfCode2022	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/AJEvans/AdventOfCode2022
ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator
ANG3L0/mipsr10k	Verilog	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ANG3L0/mipsr10k
AScheibe/lolcode-calculator	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/AScheibe/lolcode-calculator
Ahmadzaihabib/lolCodeFinal		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Ahmadzaihabib/lolCodeFinal
AidanTheJsDev/lolcode-calculator	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/AidanTheJsDev/lolcode-calculator
Ajlyde/LOLCODE-group6		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Ajlyde/LOLCODE-group6
AlisaTemp/lolcode-project	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/AlisaTemp/lolcode-project
Anormalm/EsoSim	JavaScript	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Anormalm/EsoSim
Antropom/lolcode-docs	HTML	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Antropom/lolcode-docs
ArnavK-09/trieslolcode	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ArnavK-09/trieslolcode
AydenMartin/LOLCalc		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/AydenMartin/LOLCalc
BLANK-Zora/LOLCODE	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/BLANK-Zora/LOLCODE
BOXEL-REBOUND/LOLCODE	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/BOXEL-REBOUND/LOLCODE
Bonkowz/lolcode-interpreter-Python	Python	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Bonkowz/lolcode-interpreter-Python
BrilZliaN/VKCode-bin		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/BrilZliaN/VKCode-bin
Brimirrrr/lolcode-interpreter	Python	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Brimirrrr/lolcode-interpreter
BrookTheBook/Hello-World-In-LOLCODE	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/BrookTheBook/Hello-World-In-LOLCODE
CMSC124-SAT-SEM1-2021/Eclarin_A_Milla_R_LOLCODE		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/CMSC124-SAT-SEM1-2021/Eclarin_A_Milla_R_LOLCODE
CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE
Camto/mk.lol	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Camto/mk.lol
CaseySchneider/LMAOcode-Compiler	Python	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/CaseySchneider/LMAOcode-Compiler
CheikOmar325/LolCode-Snippets	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/CheikOmar325/LolCode-Snippets
ChenDDDAA/LOLcode		0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ChenDDDAA/LOLcode
Chingles2404/first-lolcode-program	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Chingles2404/first-lolcode-program
ChristianLois/CMSC124-LOLCODE-INTERPRETER	Python	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ChristianLois/CMSC124-LOLCODE-INTERPRETER
Ckeshua/lolcode	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Ckeshua/lolcode
Cleggatron/LoLCodeFizzBuzz	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/Cleggatron/LoLCodeFizzBuzz
ComputerGuyYash/LOLCODE-RawProgam	LOLCODE	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ComputerGuyYash/LOLCODE-RawProgam
ConradLax/CMSC124-LOLCode_Interpreter	Java	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/ConradLax/CMSC124-LOLCode_Interpreter
DavidBenavidez/lolcode-interpreter	C	0	0	github-repo-search-lolcode-2026-04-01	discovered	https://github.com/DavidBenavidez/lolcode-interpreter
