repo	kind	priority	curation_score	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	reasons	html_url
DvaeFroot/cmsc124-lolcode-interpreter	implementation	P1	38	Python	0	4	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/DvaeFroot/cmsc124-lolcode-interpreter
jpcarreon/loco	implementation	P1	38	Java	0	4	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/jpcarreon/loco
mattleibow/dotnet-lolcode	implementation	P1	38	C#	0	4	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mattleibow/dotnet-lolcode
ash-of-the-meadow/LOLC	implementation	P1	37	C	9	0	no	no	implementation-signal,corpus-signal	https://github.com/ash-of-the-meadow/LOLC
meh/llvm-lol	implementation	P1	37	C++	5	0	no	no	implementation-signal,corpus-signal	https://github.com/meh/llvm-lol
qoobaa/lol	implementation	P1	37	Ruby	4	0	yes	no	implementation-signal,corpus-signal,already-in-candidate-catalog	https://github.com/qoobaa/lol
bernardjezua/LOLCODE-Interpreter	implementation	P1	37	Python	2	0	yes	no	implementation-signal,corpus-signal,already-in-candidate-catalog	https://github.com/bernardjezua/LOLCODE-Interpreter
Devedir/lolcodeweb	implementation	P1	37	HTML	1	0	no	no	implementation-signal,impl-root-signal,corpus-signal	https://github.com/Devedir/lolcodeweb
fruit-in/lolcat-translator	implementation	P1	37	LOLCODE	1	0	no	yes	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/fruit-in/lolcat-translator
mishaaq/pylol	implementation	P1	37	Python	1	0	no	no	implementation-signal,corpus-signal	https://github.com/mishaaq/pylol
stephen-riley/lolc	implementation	P1	37	C#	1	0	no	no	implementation-signal,corpus-signal	https://github.com/stephen-riley/lolc
wspace/0x0dea-lolcode	implementation	P1	37	LOLCODE	1	0	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/wspace/0x0dea-lolcode
driee17/cmsc124-project	implementation	P1	37	Python	0	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/driee17/cmsc124-project
mldamalerio/LOLCODE-Interpreter	implementation	P1	37	Python	0	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mldamalerio/LOLCODE-Interpreter
mreifer1/RUST_LOLCODE_COMPILER	implementation	P1	37	Rust	0	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/mreifer1/RUST_LOLCODE_COMPILER
nicodecastro/lolcode-interpreter	implementation	P1	37	Python	0	3	yes	yes	implementation-signal,corpus-signal,noise-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/nicodecastro/lolcode-interpreter
roxanneypr/LolCode-interpreter	implementation	P1	37	Python	0	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/roxanneypr/LolCode-interpreter
tedneward/lolcomp	implementation	P1	37	Kotlin	0	3	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/tedneward/lolcomp
Theoistic/lolcode-dot-net	implementation	P1	36	C#	0	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/Theoistic/lolcode-dot-net
chunlea/lolcode-dot-net	implementation	P1	36	C#	0	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/chunlea/lolcode-dot-net
garthendrich/lolcode-interpreter	implementation	P1	36	Python	0	2	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/garthendrich/lolcode-interpreter
rdohms/lolcode-parser	implementation	P1	36	PHP	0	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/rdohms/lolcode-parser
unycorn/lolcode-dot-net	implementation	P1	36	C#	0	2	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/unycorn/lolcode-dot-net
Mtlayones/lolcode-interpreter	implementation	P1	36	JavaScript	0	0	no	no	implementation-signal,tooling-signal	https://github.com/Mtlayones/lolcode-interpreter
NicolePrivado/LolCode-Interpreter-ReactJS	implementation	P1	36	JavaScript	0	0	no	no	implementation-signal,tooling-signal,noise-signal	https://github.com/NicolePrivado/LolCode-Interpreter-ReactJS
karlpaolo/lolcode-interpreter	implementation	P1	36	JavaScript	0	0	no	no	implementation-signal,tooling-signal	https://github.com/karlpaolo/lolcode-interpreter
peterrupa/uLOLCODE-Interpreter	implementation	P1	36	JavaScript	0	0	no	no	implementation-signal,tooling-signal	https://github.com/peterrupa/uLOLCODE-Interpreter
EbrahimGabriel/lolcode-interpreter	implementation	P1	35	Python	0	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/EbrahimGabriel/lolcode-interpreter
Izaaq/Izaaq-FYP	implementation	P1	35	Python	0	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/Izaaq/Izaaq-FYP
RodFlores27/CMSC124Project	implementation	P1	35	Python	0	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/RodFlores27/CMSC124Project
SallySanban/LOLCODE-Interpreter	implementation	P1	35	Python	0	1	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/SallySanban/LOLCODE-Interpreter
alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	implementation	P1	35	Python	0	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/alxzdani/LOLCODE-interpreter-cocoy-dani-kyro
amtuazon4/PyGUI	implementation	P1	35	Python	0	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/amtuazon4/PyGUI
jerichodolendo/lolcode-interpreter	implementation	P1	35	Python	0	1	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/jerichodolendo/lolcode-interpreter
maadriana/lolcode-interpreter	implementation	P1	35	Python	0	1	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/maadriana/lolcode-interpreter
nfenciso1/lolcode-interpreter	implementation	P1	35	Python	0	1	yes	yes	implementation-signal,corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/nfenciso1/lolcode-interpreter
BOXEL-REBOUND/LOLCODE	implementation	P1	34	LOLCODE	0	0	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/BOXEL-REBOUND/LOLCODE
Bonkowz/lolcode-interpreter-Python	implementation	P1	34	Python	0	0	no	no	implementation-signal,corpus-signal	https://github.com/Bonkowz/lolcode-interpreter-Python
JayJeyaruban/rlcc	implementation	P1	34	Rust	0	0	no	no	implementation-signal,corpus-signal	https://github.com/JayJeyaruban/rlcc
KevinGines1/lolcode	implementation	P1	34	Python	0	0	no	no	implementation-signal,corpus-signal	https://github.com/KevinGines1/lolcode
Ljmbautista/LOLCODE-Interpreter-CMSC-124-Project-	implementation	P1	34	Java	0	0	no	no	implementation-signal,corpus-signal	https://github.com/Ljmbautista/LOLCODE-Interpreter-CMSC-124-Project-
Owkik/LOLCODE-Interpreter	implementation	P1	34	Python	0	0	no	no	implementation-signal,corpus-signal	https://github.com/Owkik/LOLCODE-Interpreter
alecgerona/cmsc124lolterpreter	implementation	P1	34	C#	0	0	no	no	implementation-signal,corpus-signal	https://github.com/alecgerona/cmsc124lolterpreter
amsmite001/LOLCode	implementation	P1	34	Jupyter Notebook	0	0	no	no	implementation-signal,corpus-signal,noise-signal	https://github.com/amsmite001/LOLCode
anton-br/lolcode_interpreter	implementation	P1	34	Python	0	0	no	no	implementation-signal,corpus-signal	https://github.com/anton-br/lolcode_interpreter
antonrufino/project-iwaca	implementation	P1	34	JavaScript	0	0	no	no	implementation-signal,corpus-signal	https://github.com/antonrufino/project-iwaca
hlbreyes/lolcode-interpreter	implementation	P1	34	C#	0	0	no	no	implementation-signal,corpus-signal	https://github.com/hlbreyes/lolcode-interpreter
jessicamarie/cat-translator	implementation	P1	34	LOLCODE	0	0	no	yes	implementation-signal,impl-root-signal,corpus-signal,also-in-language-snapshot	https://github.com/jessicamarie/cat-translator
josephrhobbs/lolcode	implementation	P1	34	Rust	0	0	no	no	implementation-signal,corpus-signal	https://github.com/josephrhobbs/lolcode
keithliam/lolcode-interpreter	implementation	P1	34	HTML	0	0	no	no	implementation-signal,corpus-signal	https://github.com/keithliam/lolcode-interpreter
perez-aaron/CMSC-124-Project-LOLCode-Interpreter	implementation	P1	34	Python	0	0	no	no	implementation-signal,corpus-signal	https://github.com/perez-aaron/CMSC-124-Project-LOLCode-Interpreter
saveniukk/lolcode-interpreter	implementation	P1	34	Python	0	0	no	no	implementation-signal,corpus-signal	https://github.com/saveniukk/lolcode-interpreter
stephen-riley/ll-lolcode	implementation	P1	34	C#	0	0	no	no	implementation-signal,corpus-signal	https://github.com/stephen-riley/ll-lolcode
tim-speed/loljs	implementation	P1	34	JavaScript	0	0	no	no	implementation-signal,corpus-signal	https://github.com/tim-speed/loljs
ulrich-barnstedt-archive/brainfuck.lol	implementation	P1	34	LOLCODE	0	0	no	yes	implementation-signal,corpus-signal,also-in-language-snapshot	https://github.com/ulrich-barnstedt-archive/brainfuck.lol
xtrxtrkiyoshi/WildcatsInterpreter	implementation	P1	34	C#	0	0	no	no	implementation-signal,corpus-signal	https://github.com/xtrxtrkiyoshi/WildcatsInterpreter
timotei/lolcode_to_c	implementation	P1	33	C	2	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/timotei/lolcode_to_c
InzamamRahaman/LOLCODE	implementation	P1	33	Python	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/InzamamRahaman/LOLCODE
d-stew/lmaonade-stand	implementation	P1	33	Makefile	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/d-stew/lmaonade-stand
stephenchouca/lol2cpp	implementation	P1	33	C++	1	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/stephenchouca/lol2cpp
igrigorik/ruby2lolz	implementation	P1	32	Ruby	38	0	no	no	implementation-signal	https://github.com/igrigorik/ruby2lolz
replit-archive/lol-coffee	implementation	P1	32	CoffeeScript	25	0	no	no	implementation-signal	https://github.com/replit-archive/lol-coffee
ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator	implementation	P1	32		0	0	no	no	implementation-signal,docs-signal	https://github.com/ALRnoche/CMSC-124-ST2L-LOLCODE-Interpreter-by-AGA-Translator
jaungos/lolcode-interpreter	implementation	P1	32	Python	0	0	no	no	implementation-signal,docs-signal	https://github.com/jaungos/lolcode-interpreter
CaseySchneider/LMAOcode-Compiler	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/CaseySchneider/LMAOcode-Compiler
EmritYR/LOLCODE-PARSER	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/EmritYR/LOLCODE-PARSER
EtherDaler/lolcode-iterpr	implementation	P1	30	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/EtherDaler/lolcode-iterpr
InversionSpaces/lolcode-interpreter	implementation	P1	30	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/InversionSpaces/lolcode-interpreter
JoshuaStapleton/lolcode-parser	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/JoshuaStapleton/lolcode-parser
Neverjr/lolcode	implementation	P1	30	Lex	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/Neverjr/lolcode
Zelika3435/CMSC124-Project-lolcode_interpreter	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/Zelika3435/CMSC124-Project-lolcode_interpreter
akashdeeep/LOLcode-compiler	implementation	P1	30	C	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/akashdeeep/LOLcode-compiler
akeustis/lolcode	implementation	P1	30	Go	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/akeustis/lolcode
alexa0o/lolcode-interpreter	implementation	P1	30	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/alexa0o/lolcode-interpreter
ciaramaegotis/CMSC-129-LOLCODE-lexyacc	implementation	P1	30	C	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/ciaramaegotis/CMSC-129-LOLCODE-lexyacc
jasonhemann/lolcode-spec-graph	docs	P2	30	Racket	0	0	no	no	tooling-signal,docs-signal,corpus-signal	https://github.com/jasonhemann/lolcode-spec-graph
johnbyron-garin/LolCode-Compiler	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/johnbyron-garin/LolCode-Compiler
kjdeluna/Lolcode-Interpreter	implementation	P1	30	C#	0	0	yes	no	implementation-signal,impl-root-signal,grammar-root-signal,already-in-candidate-catalog	https://github.com/kjdeluna/Lolcode-Interpreter
kylereblora/cmsc-124-project-beta-copy	implementation	P1	30	Java	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/kylereblora/cmsc-124-project-beta-copy
mamerisawesome/acubeLolLexer	implementation	P1	30	C#	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/mamerisawesome/acubeLolLexer
molnarmark/lolcode-lua	implementation	P1	30	Lua	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/molnarmark/lolcode-lua
rafdp/Language2AST	implementation	P1	30	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/rafdp/Language2AST
renderAR/LOLCODE-Interpreter	implementation	P1	30	Java	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/renderAR/LOLCODE-Interpreter
rihsdavid/lolcode_compiler	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/rihsdavid/lolcode_compiler
rjcapuno/AeroHurricanes	implementation	P1	30	C#	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/rjcapuno/AeroHurricanes
skushneryuk/lolcode_interpreter	implementation	P1	30	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/skushneryuk/lolcode_interpreter
sribnyak/lolbison	implementation	P1	30	C++	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/sribnyak/lolbison
strangeglyph/lolcode-compiler	implementation	P1	30	Rust	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/strangeglyph/lolcode-compiler
sudo-gera/lolcode-interpreter	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/sudo-gera/lolcode-interpreter
vulnanx/LOLcode-Compiler-with-GUI	implementation	P1	30	Python	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/vulnanx/LOLcode-Compiler-with-GUI
zatrodev/lolcode	implementation	P1	30	Rust	0	0	no	no	implementation-signal,impl-root-signal,grammar-root-signal	https://github.com/zatrodev/lolcode
jqr/lolcodr	implementation	P1	27	Ruby	5	0	no	no	implementation-signal	https://github.com/jqr/lolcodr
YS-L/hlci	implementation	P1	27	Haskell	2	0	yes	no	implementation-signal,already-in-candidate-catalog	https://github.com/YS-L/hlci
rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj	implementation	P1	27	C#	2	0	no	no	implementation-signal	https://github.com/rlbayeta2589/LOLCODE-ProtoInterpreter-CMSC124Proj
Daniel-Pete/dolomite-lolcode-interpreter	implementation	P1	27	Python	1	0	no	no	implementation-signal	https://github.com/Daniel-Pete/dolomite-lolcode-interpreter
GerardOlviga/lolcode-interpreter	implementation	P1	27	Java	1	0	no	no	implementation-signal	https://github.com/GerardOlviga/lolcode-interpreter
StexX/catpiler	implementation	P1	27	Java	1	0	no	no	implementation-signal	https://github.com/StexX/catpiler
ajgajg1134/LolcodeInterpreter	implementation	P1	27		1	0	no	no	implementation-signal	https://github.com/ajgajg1134/LolcodeInterpreter
dunngh/LOLtranslator	implementation	P1	27	C++	1	0	no	no	implementation-signal,impl-root-signal	https://github.com/dunngh/LOLtranslator
huyvohcmc/lolcode-parser	implementation	P1	27	Scala	1	0	no	no	implementation-signal	https://github.com/huyvohcmc/lolcode-parser
markwongsk/LOLCODE	implementation	P1	27	Standard ML	1	0	no	no	implementation-signal,impl-root-signal	https://github.com/markwongsk/LOLCODE
mclarkk/LOLCode	implementation	P1	27	Python	1	0	no	no	implementation-signal	https://github.com/mclarkk/LOLCode
morristech/LOLCode	implementation	P1	27	Java	1	0	no	no	implementation-signal	https://github.com/morristech/LOLCode
netfri25/magshimim-trivia-lol	implementation	P1	27		1	0	no	no	implementation-signal	https://github.com/netfri25/magshimim-trivia-lol
oey192/LOLCODE2Cplusplus	implementation	P1	27	C++	1	0	no	no	implementation-signal	https://github.com/oey192/LOLCODE2Cplusplus
gomfunkel/lolcode-playground	tooling	P2	25		5	0	no	no	tooling-signal,corpus-signal	https://github.com/gomfunkel/lolcode-playground
