repo	kind	priority	curation_score	language	stars	code_hit_count	reasons	html_url
TStut15/Random-Code	noise	P4	0	Fortran	0	0		https://github.com/TStut15/Random-Code
Thisismygirlrakshaforsure/-LOLCODE	noise	P4	0		0	0		https://github.com/Thisismygirlrakshaforsure/-LOLCODE
Vapidjimbo/LOLCode3	noise	P4	0	HTML	0	0		https://github.com/Vapidjimbo/LOLCode3
abim91/lolcodeCompiler	noise	P4	0	Rust	0	0		https://github.com/abim91/lolcodeCompiler
aghastmuffin/lolcode.py	noise	P4	0		0	0		https://github.com/aghastmuffin/lolcode.py
akplayle/LOLTracer	noise	P4	0		0	0		https://github.com/akplayle/LOLTracer
alcalamatthew/lolcode-test	noise	P4	0		0	0		https://github.com/alcalamatthew/lolcode-test
alexcimr/Transpiler-LOLCODE-do-Pythona	noise	P4	0		0	0		https://github.com/alexcimr/Transpiler-LOLCODE-do-Pythona
andrel/lolpizza	noise	P4	0		0	0		https://github.com/andrel/lolpizza
aur-archive/lolcode-git	noise	P4	0	Shell	0	0		https://github.com/aur-archive/lolcode-git
aurik3/Lolcodev	noise	P4	0	JavaScript	0	0		https://github.com/aurik3/Lolcodev
blake18/COSC-455-Project-1-LOLCODE-Markdown-Language-Translation	noise	P4	0	Rust	0	0		https://github.com/blake18/COSC-455-Project-1-LOLCODE-Markdown-Language-Translation
brightblackhole/lolcode	noise	P4	0		0	0		https://github.com/brightblackhole/lolcode
btseytlin/ply_lolcode	noise	P4	0	Python	0	0		https://github.com/btseytlin/ply_lolcode
cyberdrk/hello-reimagined-octo-fortnight-world	noise	P4	0		0	0		https://github.com/cyberdrk/hello-reimagined-octo-fortnight-world
dlsantos/lolcode	noise	P4	0		0	0		https://github.com/dlsantos/lolcode
dwinchell/ref-app-lolcode	noise	P4	0	Dockerfile	0	0		https://github.com/dwinchell/ref-app-lolcode
dworzycp/track_and_trace	noise	P4	0		0	0		https://github.com/dworzycp/track_and_trace
filipw/ScriptCs.Engine.LolCode	noise	P4	0	C#	0	0		https://github.com/filipw/ScriptCs.Engine.LolCode
garvit-batra-7/lolcode-hello-unkown	noise	P4	0		0	0		https://github.com/garvit-batra-7/lolcode-hello-unkown
hackfest-dev/HF24-LoLCode	noise	P4	0	HTML	0	0		https://github.com/hackfest-dev/HF24-LoLCode
holyPancakes/LOLCodeInterpreter_OTP	noise	P4	0	C#	0	0		https://github.com/holyPancakes/LOLCodeInterpreter_OTP
ikiki1008/lolcode-desu	noise	P4	0	HTML	0	0		https://github.com/ikiki1008/lolcode-desu
ioanatanasiciuc/LOLCODE_PLP_TanasiciucIoana	noise	P4	0	Coq	0	0		https://github.com/ioanatanasiciuc/LOLCODE_PLP_TanasiciucIoana
ivanpolo-pro/lolcode	noise	P4	0		0	0		https://github.com/ivanpolo-pro/lolcode
jamiec-0123/LOLcode	noise	P4	0		0	0		https://github.com/jamiec-0123/LOLcode
jessterryberry/lolcode_tempconvert	noise	P4	0		0	0		https://github.com/jessterryberry/lolcode_tempconvert
jkcdarunday/ProjectDestiny	noise	P4	0	C++	0	0		https://github.com/jkcdarunday/ProjectDestiny
keksprache/lolcat.py	noise	P4	0		0	0		https://github.com/keksprache/lolcat.py
kylewensman/CITPT-225_LOLCode_documentation	noise	P4	0	HTML	0	0		https://github.com/kylewensman/CITPT-225_LOLCode_documentation
lacraig2/lolcode-java	noise	P4	0	Java	0	0		https://github.com/lacraig2/lolcode-java
lepermessiah57/lolcode-java	noise	P4	0	Java	0	0		https://github.com/lepermessiah57/lolcode-java
lolcodepp/lolcodepp.github.io	noise	P4	0	HTML	0	0		https://github.com/lolcodepp/lolcodepp.github.io
loloshkaCode/lolCode	noise	P4	0		0	0		https://github.com/loloshkaCode/lolCode
mSulleza/cmsc124-lolcode-chipmunks	noise	P4	0	C#	0	0		https://github.com/mSulleza/cmsc124-lolcode-chipmunks
mikegogulski/99Bottles-LOLCODE	noise	P4	0		0	0		https://github.com/mikegogulski/99Bottles-LOLCODE
mmdeviterbo/recreate-lolcode-project	noise	P4	0	Java	0	0		https://github.com/mmdeviterbo/recreate-lolcode-project
murraytime803/lolcode	noise	P4	0		0	0		https://github.com/murraytime803/lolcode
nikmend/LoLCode	noise	P4	0		0	0		https://github.com/nikmend/LoLCode
nishantshobhit/lolcode-java	noise	P4	0	Java	0	0		https://github.com/nishantshobhit/lolcode-java
niwohlos/niwohcode	noise	P4	0	Ruby	0	0		https://github.com/niwohlos/niwohcode
ofekih/lolcode-sublime	noise	P4	0		0	0		https://github.com/ofekih/lolcode-sublime
ogii/circleci-lolcode	noise	P4	0		0	0		https://github.com/ogii/circleci-lolcode
projectyotta/TryingOutLolcode	noise	P4	0	HTML	0	0		https://github.com/projectyotta/TryingOutLolcode
quevinjames/cmsc_124_project	noise	P4	0	Python	0	0		https://github.com/quevinjames/cmsc_124_project
royston/ICanHazLolCode	noise	P4	0		0	0		https://github.com/royston/ICanHazLolCode
sarvex/lolCode125	noise	P4	0		0	0		https://github.com/sarvex/lolCode125
sharin974/lolcodegenerator	noise	P4	0	CSS	0	0		https://github.com/sharin974/lolcodegenerator
sobernt/lolcode	noise	P4	0		0	0		https://github.com/sobernt/lolcode
soumitradev/assembly-fun-lolcode	noise	P4	0	C	0	0		https://github.com/soumitradev/assembly-fun-lolcode
sudharsh/fatso	noise	P4	0	C++	0	0		https://github.com/sudharsh/fatso
tcarver371/LOLCODE-Test	noise	P4	0	HTML	0	0		https://github.com/tcarver371/LOLCODE-Test
tcarver371/LOLCODE_test	noise	P4	0	CSS	0	0		https://github.com/tcarver371/LOLCODE_test
tedneward/LOLSELF	noise	P4	0	Kotlin	0	0		https://github.com/tedneward/LOLSELF
wookietreiber/scalolcode	noise	P4	0	Scala	0	0		https://github.com/wookietreiber/scalolcode
x-ae-a-12/lolcode	noise	P4	0		0	0		https://github.com/x-ae-a-12/lolcode
yamaz420/PythonIntro-LOLcodeAndShit	noise	P4	0	Python	0	0		https://github.com/yamaz420/PythonIntro-LOLcodeAndShit
yuktamsingh/LOLCODE	noise	P4	0		0	0		https://github.com/yuktamsingh/LOLCODE
OddballGreg/lolcode2019	tooling	P2	-4	Ruby	0	0	tooling-signal,noise-signal	https://github.com/OddballGreg/lolcode2019
